Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,y
Fa,Tr,Fa,Fa,Tr,Fa,Fa,Fa,-1
2,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
3,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
4,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
5,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
6,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
7,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
8,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
9,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
10,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
11,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
12,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
13,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
14,Fa,Tr,Tr,Tr,Fa,Fa,Fa,-1
15,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
16,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
17,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
18,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
19,Fa,Tr,Fa,Tr,Tr,Fa,Fa,-1
20,Fa,Fa,Tr,Tr,Fa,Fa,Fa,-1
21,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
22,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
23,Fa,Tr,Fa,Fa,Fa,Fa,Tr,-1
24,Fa,Fa,Fa,Tr,Fa,Tr,Fa,-1
25,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
26,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
27,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
28,Tr,Tr,Fa,Tr,Fa,Fa,Fa,-1
29,Fa,Fa,Fa,Tr,Fa,Fa,Tr,-1
30,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
31,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
32,Tr,Fa,Fa,Tr,Fa,Fa,Fa,-1
33,Fa,Fa,Fa,Tr,Fa,Tr,Fa,-1
34,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
35,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
36,Tr,Fa,Fa,Fa,Fa,Fa,Fa,-1
37,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
38,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
39,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
40,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
41,Fa,Tr,Fa,Tr,Fa,Fa,Fa,-1
42,Fa,Fa,Fa,Tr,Fa,Fa,Tr,-1
43,Tr,Fa,Fa,Tr,Fa,Fa,Tr,-1
44,Fa,Fa,Fa,Tr,Fa,Fa,Tr,-1
45,Fa,Tr,Fa,Tr,Fa,Fa,Fa,-1
46,Tr,Tr,Fa,Tr,Fa,Tr,Fa,-1
47,Fa,Tr,Fa,Fa,Tr,Tr,Tr,-1
48,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
49,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
50,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
51,Fa,Tr,Tr,Tr,Fa,Tr,Fa,-1
52,Fa,Tr,Fa,Tr,Tr,Tr,Fa,-1
53,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
54,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
55,Tr,Tr,Tr,Fa,Fa,Tr,Fa,-1
56,Fa,Tr,Fa,Fa,Tr,Tr,Fa,-1
57,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
