,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,@data
0,1,2,3,2,4,2,2,2,1,8,negative
1,3,10,3,12,4,10,1,10,2,10,negative
2,1,13,2,6,4,6,3,6,1,6,negative
3,4,1,1,1,3,2,3,1,2,1,negative
4,2,9,4,6,3,9,4,9,1,9,negative
5,2,10,4,10,3,11,1,10,3,10,negative
6,1,13,4,13,3,13,2,7,2,13,negative
7,2,11,1,11,4,11,3,11,4,3,negative
8,3,13,1,13,4,13,2,13,2,12,negative
9,4,7,1,7,3,7,2,7,2,12,negative
10,1,2,1,1,3,1,4,1,2,1,negative
11,2,7,1,2,1,7,3,7,4,7,negative
12,3,5,2,5,4,5,1,5,3,7,negative
13,1,13,3,13,3,11,4,13,2,13,negative
14,4,12,4,1,4,13,4,11,4,10,positive
15,1,12,2,12,4,12,3,12,2,13,negative
16,2,13,4,11,3,11,2,11,1,11,negative
17,1,4,2,4,3,4,1,11,4,4,negative
18,4,2,1,2,2,2,3,13,3,2,negative
19,2,10,3,5,4,5,2,5,1,5,negative
20,1,13,3,13,4,13,2,13,1,3,negative
21,3,1,1,5,3,5,4,5,2,5,negative
22,2,3,1,3,3,3,4,3,3,6,negative
23,1,2,4,2,3,2,4,3,2,2,negative
24,4,4,2,4,2,12,1,4,3,4,negative
25,3,1,1,5,2,5,4,5,3,5,negative
26,4,7,1,7,2,7,3,7,4,2,negative
27,2,2,3,9,4,9,2,9,1,9,negative
28,1,3,3,3,2,2,2,3,4,3,negative
29,1,7,4,8,3,7,2,7,4,7,negative
30,1,6,2,6,4,6,2,12,3,6,negative
31,4,9,1,9,2,4,2,9,3,9,negative
32,1,2,4,2,2,2,3,2,2,3,negative
33,4,10,1,9,2,9,3,9,4,9,negative
34,4,2,1,2,3,2,2,2,1,3,negative
35,4,3,1,3,3,3,2,13,2,3,negative
36,3,5,4,8,1,5,2,5,4,5,negative
37,3,2,2,2,1,2,4,2,4,7,negative
38,4,3,3,13,1,3,2,3,3,3,negative
39,2,12,1,7,2,7,3,7,4,7,negative
40,3,3,1,3,1,13,2,3,4,3,negative
