"","V1","V2","V3","V4","V5","V6","V7","V8","y"
"1",0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,-1
"2",0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,-1
"3",0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,-1
"4",0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,-1
"5",0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,-1
"6",0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,-1
"7",0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,-1
"8",0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,-1
"9",0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,-1
"10",0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,-1
"11",0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,-1
"12",0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,-1
"13",0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,-1
"14",0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,-1
"15",0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,-1
"16",0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,-1
"17",0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,-1
"18",0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,-1
"19",0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,-1
"20",0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,-1
"21",0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,-1
"22",0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,-1
"23",0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,-1
"24",0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,-1
"25",0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,-1
"26",0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,-1
"27",0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,-1
"28",0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,-1
"29",0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,-1
"30",0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,-1
"31",0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,-1
"32",0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,-1
"33",0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,-1
"34",0.47,0.52,0.5,0.4,0.5,0,0.41,0.22,-1
"35",0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,-1
"36",0.42,0.35,0.54,0.18,0.5,0,0.56,0.22,-1
"37",0.3,0.56,0.55,0.18,0.5,0,0.5,0.22,-1
"38",0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,-1
"39",0.27,0.6,0.48,0.23,0.5,0,0.55,0.22,-1
"40",0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,1
"41",0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,-1
"42",0.5,0.64,0.57,0.15,0.5,0,0.47,0.22,-1
