,0,1,2,3,4,5,6,7,8,9,10,11
1,A,X,No,3,1,1,1,No,0,0,0,negative
2,R,O,No,3,1,1,2,No,0,0,0,negative
3,S,O,No,3,1,1,2,No,0,0,0,negative
4,R,X,No,2,1,1,1,No,0,0,0,negative
5,S,X,No,1,1,1,2,No,0,0,0,negative
6,A,O,No,2,1,1,2,No,0,0,0,negative
7,X,O,No,3,1,1,2,No,0,0,0,negative
8,A,O,No,3,1,1,2,No,0,0,0,negative
9,X,O,No,3,1,1,2,No,0,0,0,negative
10,A,O,No,2,1,1,2,No,0,0,0,negative
11,X,O,No,3,1,1,2,No,0,0,0,negative
12,S,O,Yes,2,1,1,2,No,0,0,0,negative
13,X,O,No,3,1,1,2,No,0,0,0,negative
14,X,O,No,2,1,1,2,No,0,0,0,negative
15,R,I,No,3,1,1,2,No,1,0,0,negative
16,X,O,No,2,1,1,2,No,0,0,0,negative
17,X,O,No,2,1,2,2,No,0,0,0,negative
18,S,X,No,2,1,1,2,No,0,0,0,negative
19,X,O,Yes,2,1,2,2,No,0,0,0,negative
20,R,O,No,3,1,1,2,No,5,0,0,negative
21,X,O,No,2,1,2,2,No,0,0,0,negative
22,X,O,No,3,1,1,2,No,0,0,0,negative
23,X,O,No,3,1,1,2,No,0,0,0,negative
24,R,O,No,3,1,1,2,No,0,0,0,negative
25,X,O,No,1,1,2,2,No,0,0,0,negative
26,X,O,No,1,1,1,2,No,0,0,0,negative
27,R,I,Yes,1,1,2,2,No,0,0,0,negative
28,X,O,No,3,1,1,2,No,0,0,0,negative
29,R,I,No,3,1,2,2,No,0,0,0,negative
30,X,O,No,2,1,1,2,No,0,0,0,negative
31,R,O,No,3,1,1,2,No,0,0,0,negative
32,A,C,No,3,1,1,2,No,3,1,0,negative
33,A,X,No,2,1,1,1,No,1,0,0,negative
34,X,O,No,2,1,2,2,No,1,0,0,negative
35,X,O,No,3,1,1,2,No,0,0,0,negative
36,X,O,No,2,1,1,2,No,0,0,0,negative
37,K,I,Yes,3,1,2,2,No,2,0,0,negative
38,A,I,No,3,1,2,2,No,0,0,0,negative
39,X,O,No,3,1,1,2,No,0,0,0,negative
40,A,O,Yes,3,3,2,2,No,2,0,0,negative
41,S,O,Yes,3,1,2,2,No,5,0,0,negative
42,S,I,Yes,3,1,2,2,No,0,0,0,negative
43,R,O,No,3,1,1,2,No,0,0,0,negative
44,A,I,Yes,3,1,2,2,No,0,0,0,negative
45,A,I,Yes,3,1,2,2,No,4,4,0,negative
46,S,X,No,3,1,1,1,No,0,0,0,negative
47,R,O,No,3,1,1,2,No,1,1,0,negative
48,S,O,No,3,1,2,2,No,0,0,0,negative
49,X,O,No,2,1,1,2,No,0,0,0,negative
50,A,I,Yes,2,1,2,2,No,0,0,0,negative
51,A,I,Yes,3,3,2,2,No,6,0,0,negative
52,S,X,No,1,1,1,1,No,0,0,0,negative
53,S,I,Yes,3,1,1,2,No,0,0,0,negative
54,S,O,Yes,3,2,1,2,No,1,0,0,negative
55,R,O,No,3,1,1,2,No,0,0,0,negative
56,S,O,No,3,1,2,2,No,0,0,0,negative
57,S,O,No,3,1,1,2,No,0,0,0,negative
58,S,O,No,2,1,2,2,No,0,0,0,negative
